,customer_id,final_cluster
0,39634,Settled Techies
1,43460,Karens
2,23937,Karens
3,2431,Petters
4,10090,Youngsters
5,24058,Settled Techies
6,26709,Misers
7,47768,Balanced Parents
8,29757,Gamer Parents
9,33207,Petters
10,42493,Fake Vegetarians
11,24099,Petters
12,27655,Misers
13,28439,Balanced Parents
14,15019,Karens
15,42461,Karens
16,13548,Fake Vegetarians
17,19701,Gamer Parents
18,22276,Petters
19,24670,Misers
20,12394,Fake Vegetarians
21,39945,Youngsters
22,21907,Petters
23,39059,Misers
24,16880,Settled Techies
25,28426,Settled Techies
26,33151,Local Folks
27,21623,Misers
28,37350,Settled Techies
29,2884,Local Folks
30,39427,Fake Vegetarians
31,9304,Gamer Parents
32,1833,Petters
33,33425,Petters
34,2030,Gamer Parents
35,18510,Karens
36,30234,Petters
37,16910,Local Folks
38,35254,Karens
39,35404,Local Folks
40,40311,Misers
41,39469,Fake Vegetarians
42,11796,Misers
43,19908,Balanced Parents
44,49813,Karens
45,29867,Gamer Parents
46,22350,Karens
47,39087,Balanced Parents
48,9042,Millenials
49,19871,Petters
50,49145,Gamer Parents
51,29418,Local Folks
52,35626,Settled Techies
53,48729,Petters
54,18125,Gamer Parents
55,26769,Misers
56,49776,Misers
57,34352,Misers
58,14841,Misers
59,46366,Settled Techies
60,35051,Millenials
61,43511,Gamer Parents
62,32771,Gamer Parents
63,14762,Misers
64,16396,Misers
65,24461,Misers
66,41634,Balanced Parents
67,39977,Petters
68,39132,Karens
69,14871,Local Folks
70,48615,Fake Vegetarians
71,15825,Misers
72,8186,Gamer Parents
73,46314,Karens
74,20325,Karens
75,21570,Petters
76,4108,Petters
77,3012,Balanced Parents
78,48725,Petters
79,36988,Gamer Parents
80,6054,Balanced Parents
81,30382,Gamer Parents
82,16781,Millenials
83,15338,Misers
84,25509,Fake Vegetarians
85,10857,Balanced Parents
86,21840,Karens
87,32685,Settled Techies
88,36010,Fake Vegetarians
89,33428,Petters
90,14887,Millenials
91,20257,Fake Vegetarians
92,2780,Balanced Parents
93,5728,Fake Vegetarians
94,11534,Balanced Parents
95,35858,Settled Techies
96,21694,Settled Techies
97,41179,Local Folks
98,48271,Gamer Parents
99,21585,Misers
100,23148,Settled Techies
101,46147,Petters
102,1117,Gamer Parents
103,22643,Karens
104,23396,Millenials
105,34592,Misers
106,21335,Misers
107,28627,Gamer Parents
108,17642,Balanced Parents
109,23208,Local Folks
110,48259,Fake Vegetarians
111,29207,Misers
112,34391,Balanced Parents
113,22301,Fake Vegetarians
114,41984,Local Folks
115,28540,Misers
116,29573,Gamer Parents
117,13506,Misers
118,34540,Misers
119,44552,Balanced Parents
120,40461,Misers
121,6629,Misers
122,22914,Misers
123,21878,Petters
124,39703,Karens
125,41077,Fake Vegetarians
126,23538,Petters
127,10776,Millenials
128,36628,Youngsters
129,28688,Millenials
130,30647,Youngsters
131,40267,Fake Vegetarians
132,26317,Fake Vegetarians
133,40469,Misers
134,16348,Local Folks
135,17727,Fake Vegetarians
136,10271,Misers
137,5338,Karens
138,14456,Karens
139,17042,Gamer Parents
140,39959,Karens
141,18565,Millenials
142,26957,Misers
143,31437,Karens
144,39168,Petters
145,5499,Fake Vegetarians
146,40168,Settled Techies
147,13803,Balanced Parents
148,15858,Misers
149,26159,Misers
150,44390,Settled Techies
151,30626,Misers
152,13597,Karens
153,28137,Millenials
154,20894,Gamer Parents
155,1350,Gamer Parents
156,20116,Petters
157,48048,Settled Techies
158,24173,Fake Vegetarians
159,5715,Misers
160,48086,Stingy Pescatarians
161,17715,Karens
162,12267,Petters
163,1224,Misers
164,27752,Millenials
165,48406,Gamer Parents
166,33738,Fake Vegetarians
167,12610,Settled Techies
168,27379,Millenials
169,6228,Gamer Parents
170,20600,Misers
171,6485,Local Folks
172,1528,Gamer Parents
173,11791,Karens
174,25752,Karens
175,11560,Misers
176,30102,Local Folks
177,33938,Petters
178,29451,Settled Techies
179,45413,Petters
180,32109,Misers
181,26394,Misers
182,24795,Local Folks
183,15351,Local Folks
184,30168,Misers
185,23964,Karens
186,47710,Misers
187,47418,Misers
188,35873,Local Folks
189,27189,Misers
190,8190,Settled Techies
191,46991,Settled Techies
192,2816,Fake Vegetarians
193,31645,Petters
194,29739,Misers
195,21819,Gamer Parents
196,17669,Misers
197,49303,Karens
198,37229,Local Folks
199,25940,Settled Techies
200,20125,Settled Techies
201,32785,Fake Vegetarians
202,31838,Stingy Pescatarians
203,23998,Petters
204,47644,Gamer Parents
205,23301,Settled Techies
206,40807,Balanced Parents
207,33205,Fake Vegetarians
208,46793,Misers
209,12182,Karens
210,48607,Fake Vegetarians
211,46748,Petters
212,15560,Misers
213,18464,Local Folks
214,33179,Karens
215,30444,Misers
216,16031,Misers
217,21329,Fake Vegetarians
218,31104,Misers
219,27702,Settled Techies
220,48360,Local Folks
221,43287,Fake Vegetarians
222,15298,Gamer Parents
223,21318,Settled Techies
224,15483,Misers
225,4234,Youngsters
226,44210,Youngsters
227,8019,Local Folks
228,6229,Fake Vegetarians
229,34796,Balanced Parents
230,11679,Balanced Parents
231,48060,Misers
232,46913,Petters
233,3433,Karens
234,14772,Settled Techies
235,8988,Fake Vegetarians
236,40712,Balanced Parents
237,35711,Local Folks
238,7922,Settled Techies
239,28475,Misers
240,45129,Local Folks
241,5753,Fake Vegetarians
242,32976,Misers
243,47139,Settled Techies
244,26282,Misers
245,39798,Millenials
246,47342,Gamer Parents
247,30275,Misers
248,34001,Settled Techies
249,46299,Youngsters
250,4876,Petters
251,12777,Fake Vegetarians
252,33438,Misers
253,35747,Balanced Parents
254,13288,Misers
255,3053,Karens
256,24648,Gamer Parents
257,36914,Gamer Parents
258,22964,Misers
259,4072,Karens
260,23102,Gamer Parents
261,44387,Millenials
262,32484,Settled Techies
263,13793,Local Folks
264,42903,Settled Techies
265,28454,Karens
266,19201,Misers
267,1615,Fake Vegetarians
268,32428,Settled Techies
269,8834,Karens
270,5326,Petters
271,42118,Misers
272,41144,Settled Techies
273,7302,Fake Vegetarians
274,34453,Misers
275,44902,Karens
276,47157,Misers
277,30006,Misers
278,40592,Misers
279,29713,Balanced Parents
280,23287,Settled Techies
281,26980,Local Folks
282,23838,Fake Vegetarians
283,38010,Misers
284,9072,Youngsters
285,35548,Gamer Parents
286,4093,Local Folks
287,46609,Misers
288,13823,Misers
289,30107,Fake Vegetarians
290,5054,Karens
291,4669,Fake Vegetarians
292,44021,Local Folks
293,4351,Fake Vegetarians
294,24255,Settled Techies
295,15855,Fake Vegetarians
296,31422,Local Folks
297,39993,Gamer Parents
298,23180,Misers
299,21865,Millenials
300,11730,Settled Techies
301,48982,Gamer Parents
302,41519,Stingy Pescatarians
303,39062,Misers
304,957,Youngsters
305,11773,Misers
306,14371,Settled Techies
307,21282,Karens
308,47970,Misers
309,11625,Millenials
310,15859,Youngsters
311,43757,Misers
312,32179,Misers
313,38221,Karens
314,49324,Settled Techies
315,23398,Gamer Parents
316,46236,Gamer Parents
317,46097,Fake Vegetarians
318,36410,Gamer Parents
319,47119,Fake Vegetarians
320,45520,Fake Vegetarians
321,45010,Settled Techies
322,4218,Fake Vegetarians
323,33405,Gamer Parents
324,21927,Gamer Parents
325,20927,Karens
326,14094,Fake Vegetarians
327,31494,Misers
328,43014,Gamer Parents
329,48409,Misers
330,3054,Karens
331,16179,Fake Vegetarians
332,27983,Fake Vegetarians
333,45444,Fake Vegetarians
334,47479,Millenials
335,7623,Fake Vegetarians
336,905,Karens
337,1029,Settled Techies
338,44109,Misers
339,49598,Youngsters
340,10697,Karens
341,33619,Fake Vegetarians
342,40101,Fake Vegetarians
343,9687,Misers
344,19037,Local Folks
345,7027,Balanced Parents
346,10399,Millenials
347,29146,Local Folks
348,20342,Balanced Parents
349,19823,Misers
350,13334,Karens
351,17408,Fake Vegetarians
352,2541,Balanced Parents
353,15319,Settled Techies
354,22957,Fake Vegetarians
355,27687,Settled Techies
